fy,code,prabhag,prabhag_sub,ward_col,amount_rs,provision_rs,work_name
2016-17,CE20E101/SF1-65,67,अ,67,1000000.0,1000000.0,प्रभाग क्रं.६७ अ सारंग सोसायटी येथे पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-66,67,ब,67,4000000.0,4000000.0,प्रभाग क्र.६७ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-67,67,ब,67,1000000.0,1000000.0,प्रभाग क्र.६७ ब मध्ये शिवदर्शन परिसरात पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-68,69,ब,69,1500000.0,1500000.0,प्रभाग क्र. ६९ ब मध्ये विविध ठिकाणी पावसाळी लाईन विषयक कामे करणे
2016-17,CE20E101/SF1-69,69,ब,69,1500000.0,1500000.0,प्रभाग क्र. ६९ ब मध्ये पांचाळ वस्ती भागामध्ये ड्रेनेज व पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-70,69,ब,69,2000000.0,2000000.0,प्रभाग क्र. ६९ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-71,70,ब,70,1000000.0,1000000.0,प्रभाग क्र.७० ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे.
2016-17,CE20E101/SF1-72,71,ब,71,1000000.0,1000000.0,प्रभाग क्र. ७१ ब मध्ये संगम सोसायटीत पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-73,71,ब,71,1000000.0,1000000.0,प्रभाग क्र. ७१ ब बिबवेवाडी ओटा येथे पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-74,72,अ,72,1000000.0,1000000.0,प्रभाग क्र. ७२ अ निलसागर सोसायटी मेन रोड वरील पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-75,72,अ,72,1000000.0,1000000.0,प्रभाग क्र. ७२ अ चिंतामणी ते महेश सोसायटी चौक पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-76,72,अ,72,1000000.0,1000000.0,प्रभाग क्र. ७२ अ व्हि.आय.टी. कॉलेज ते २७६ ओटा पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-77,72,अ,72,1000000.0,1000000.0,प्रभाग क्र. ७२ अ विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-78,73,ब,73,2000000.0,2000000.0,प्रभाग क्र. ७३ ब मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे व झाकणे बदलणे
2016-17,CE20E101/SF1-79,74,अ,74,2000000.0,2000000.0,प्रभाग क्र.७४ अ विविध ठिकाणी पावसाळी लाईन टाकणे व दुरूस्ती करणे
2016-17,CE20E101/SF1-80,75,अ,75,1000000.0,1000000.0,प्रभाग क्र. ७५ अ मध्ये विविध ठिकाणी पावसाळी लाईन टाकणे
2016-17,CE20E101/SF1-81,76,अ,76,1000000.0,1000000.0,प्रभाग क्र. ७६ अ मधील सुखसागर नगर येथे स्ट्रॉम वॉटर लाईन टाकणे
2016-17,CE20E101/SF1-82,76,ब,76,1000000.0,1000000.0,प्रभाग क्र. ७६ ब मध्ये वरखडेनगर ते प्रशांत फाटे यांच्या दुकानापर्यंत डोंगराच्या कडेने पावसाळी लार्इन टाकणे
