fy,table,sheet,sr,col0_wardnumbers,ward_office,account_code,dept,amount_lakh
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कोथरूड क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,70.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,273.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,233.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,145.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,151.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,घोले रोड क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,135.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,123.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,78.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,72.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,76.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,वारजे कर्वेनगर क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,142.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,183.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,160.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,243.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,106.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,ढोलेपाटील रोड क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,175.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,387.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,178.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,162.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,66.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,नगररोड क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,139.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,311.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,45.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,91.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,86.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,संगमवाडी क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,60.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,78.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,55.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,160.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,175.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,भवानी पेठ क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,90.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,396.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,105.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,92.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,32.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,20.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,कसबा विश्रामबाग वाडा क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,255.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,350.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,152.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,125.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,123.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,टिळक रोड क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,165.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,75.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,42.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,80.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,115.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,सहकारनगर क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,100.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,226.5
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,235.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,110.5
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,81.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,हडपसर क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,122.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,13.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,20.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,40.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,42.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,XE12B301,WaterSupply,0.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,बिबवेवाडी क्षेत्रीय कार्यालय एकूण बेरीज,XE23A301,Sewerage_foul,112.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,RE20A301,Roads,464.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,RE20C301,Electrical,90.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,RE22C301,Buildings,10.0
2016-17,WardOfficeNonPlan,WardOfficeNonPlan16,,,धनकवडी क्षेत्रीय कार्यालय एकूण बेरीज,RE14B301,Slum,10.0
