zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
VI,Thiru-Vi-Ka Nagar,NF,2012-2013,ACTUAL,9795,97.95,yes,bb2014-15.pdf,52,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VII,Ambattur,NG,2012-2013,ACTUAL,13724,137.24,yes,bb2014-15.pdf,53,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VIII,Anna Nagar,NH,2012-2013,ACTUAL,24898,248.98,yes,bb2014-15.pdf,54,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
IX,Teynampet,NJ,2012-2013,ACTUAL,9978,99.78,yes,bb2014-15.pdf,55,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
X,Kodambakkam,NK,2012-2013,ACTUAL,14351,143.51,yes,bb2014-15.pdf,56,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XI,Valasaravakkam,NL,2012-2013,ACTUAL,54107,541.07,yes,bb2014-15.pdf,57,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XII,Alandur,NM,2012-2013,ACTUAL,30339,303.39,yes,bb2014-15.pdf,58,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XIII,Adyar,NN,2012-2013,ACTUAL,10534,105.34,yes,bb2014-15.pdf,59,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XIV,Perungudi,NP,2012-2013,ACTUAL,23278,232.78,yes,bb2014-15.pdf,60,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
XV,Sholinganallur,NQ,2012-2013,ACTUAL,3453,34.53,yes,bb2014-15.pdf,61,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
I,Thiruvottiyur,NA,2013-2014,RE,40000,400.00,yes,bb2014-15.pdf,47,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
II,Manali,NB,2013-2014,RE,40000,400.00,yes,bb2014-15.pdf,48,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
III,Madhavaram,NC,2013-2014,RE,20000,200.00,yes,bb2014-15.pdf,49,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
IV,Tondiarpet,ND,2013-2014,RE,25000,250.00,yes,bb2014-15.pdf,50,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
V,Royapuram,NE,2013-2014,RE,45000,450.00,yes,bb2014-15.pdf,51,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VI,Thiru-Vi-Ka Nagar,NF,2013-2014,RE,18000,180.00,yes,bb2014-15.pdf,52,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
VII,Ambattur,NG,2013-2014,RE,10000,100.00,yes,bb2014-15.pdf,53,https://chennaicorporation.gov.in/budget/budgetImages/budget%202014-15.pdf
