zone_no,zone_name,zone_code,fiscal_year,measure,amount_rs_thousand,amount_rs_lakh,line_present_in_book,source_book,source_page,source_url
II,Manali,NB,2018-2019,ACTUAL,4866,48.66,yes,cap2020-21.pdf,49,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
III,Madhavaram,NC,2018-2019,ACTUAL,27739,277.39,yes,cap2020-21.pdf,51,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
IV,Tondiarpet,ND,2018-2019,ACTUAL,17795,177.95,yes,cap2020-21.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
V,Royapuram,NE,2018-2019,ACTUAL,21211,212.11,yes,cap2020-21.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VI,Thiru-Vi-Ka Nagar,NF,2018-2019,ACTUAL,35479,354.79,yes,cap2020-21.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VII,Ambattur,NG,2018-2019,ACTUAL,0,0.00,no,cap2020-21.pdf,,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VIII,Anna Nagar,NH,2018-2019,ACTUAL,953,9.53,yes,cap2020-21.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
IX,Teynampet,NJ,2018-2019,ACTUAL,5884,58.84,yes,cap2020-21.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
X,Kodambakkam,NK,2018-2019,ACTUAL,41890,418.90,yes,cap2020-21.pdf,65,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XI,Valasaravakkam,NL,2018-2019,ACTUAL,6071,60.71,yes,cap2020-21.pdf,67,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XII,Alandur,NM,2018-2019,ACTUAL,8810,88.10,yes,cap2020-21.pdf,69,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XIII,Adyar,NN,2018-2019,ACTUAL,8221,82.21,yes,cap2020-21.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XIV,Perungudi,NP,2018-2019,ACTUAL,742,7.42,yes,cap2020-21.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XV,Sholinganallur,NQ,2018-2019,ACTUAL,0,0.00,yes,cap2020-21.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
I,Thiruvottiyur,NA,2019-2020,RE,5000,50.00,yes,cap2020-21.pdf,47,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
II,Manali,NB,2019-2020,RE,10000,100.00,yes,cap2020-21.pdf,49,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
III,Madhavaram,NC,2019-2020,RE,5000,50.00,yes,cap2020-21.pdf,51,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
IV,Tondiarpet,ND,2019-2020,RE,10000,100.00,yes,cap2020-21.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
V,Royapuram,NE,2019-2020,RE,22000,220.00,yes,cap2020-21.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VI,Thiru-Vi-Ka Nagar,NF,2019-2020,RE,20000,200.00,yes,cap2020-21.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VII,Ambattur,NG,2019-2020,RE,0,0.00,no,cap2020-21.pdf,,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VIII,Anna Nagar,NH,2019-2020,RE,5000,50.00,yes,cap2020-21.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
IX,Teynampet,NJ,2019-2020,RE,5000,50.00,yes,cap2020-21.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
X,Kodambakkam,NK,2019-2020,RE,15000,150.00,yes,cap2020-21.pdf,65,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XI,Valasaravakkam,NL,2019-2020,RE,7500,75.00,yes,cap2020-21.pdf,67,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XII,Alandur,NM,2019-2020,RE,1500,15.00,yes,cap2020-21.pdf,69,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XIII,Adyar,NN,2019-2020,RE,30000,300.00,yes,cap2020-21.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XIV,Perungudi,NP,2019-2020,RE,5000,50.00,yes,cap2020-21.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XV,Sholinganallur,NQ,2019-2020,RE,4100,41.00,yes,cap2020-21.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
I,Thiruvottiyur,NA,2020-2021,BE,10000,100.00,yes,cap2020-21.pdf,47,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
II,Manali,NB,2020-2021,BE,10000,100.00,yes,cap2020-21.pdf,49,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
III,Madhavaram,NC,2020-2021,BE,5000,50.00,yes,cap2020-21.pdf,51,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
IV,Tondiarpet,ND,2020-2021,BE,10000,100.00,yes,cap2020-21.pdf,53,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
V,Royapuram,NE,2020-2021,BE,25000,250.00,yes,cap2020-21.pdf,55,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VI,Thiru-Vi-Ka Nagar,NF,2020-2021,BE,20000,200.00,yes,cap2020-21.pdf,57,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VII,Ambattur,NG,2020-2021,BE,0,0.00,no,cap2020-21.pdf,,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
VIII,Anna Nagar,NH,2020-2021,BE,10000,100.00,yes,cap2020-21.pdf,61,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
IX,Teynampet,NJ,2020-2021,BE,10000,100.00,yes,cap2020-21.pdf,63,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
X,Kodambakkam,NK,2020-2021,BE,15000,150.00,yes,cap2020-21.pdf,65,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XI,Valasaravakkam,NL,2020-2021,BE,7500,75.00,yes,cap2020-21.pdf,67,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XII,Alandur,NM,2020-2021,BE,2000,20.00,yes,cap2020-21.pdf,69,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XIII,Adyar,NN,2020-2021,BE,30000,300.00,yes,cap2020-21.pdf,71,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XIV,Perungudi,NP,2020-2021,BE,5000,50.00,yes,cap2020-21.pdf,73,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
XV,Sholinganallur,NQ,2020-2021,BE,5000,50.00,yes,cap2020-21.pdf,75,https://chennaicorporation.gov.in/budget/Budget_2020-21/Capital.pdf
I,Thiruvottiyur,NA,2019-2020,ACTUAL,3168,31.68,yes,glance2021-22.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
II,Manali,NB,2019-2020,ACTUAL,2059,20.59,yes,glance2021-22.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
III,Madhavaram,NC,2019-2020,ACTUAL,3899,38.99,yes,glance2021-22.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
IV,Tondiarpet,ND,2019-2020,ACTUAL,5600,56.00,yes,glance2021-22.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
V,Royapuram,NE,2019-2020,ACTUAL,10398,103.98,yes,glance2021-22.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VI,Thiru-Vi-Ka Nagar,NF,2019-2020,ACTUAL,6002,60.02,yes,glance2021-22.pdf,62,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VII,Ambattur,NG,2019-2020,ACTUAL,0,0.00,no,glance2021-22.pdf,,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VIII,Anna Nagar,NH,2019-2020,ACTUAL,2951,29.51,yes,glance2021-22.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
IX,Teynampet,NJ,2019-2020,ACTUAL,517,5.17,yes,glance2021-22.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
X,Kodambakkam,NK,2019-2020,ACTUAL,13110,131.10,yes,glance2021-22.pdf,70,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XI,Valasaravakkam,NL,2019-2020,ACTUAL,2475,24.75,yes,glance2021-22.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XII,Alandur,NM,2019-2020,ACTUAL,1391,13.91,yes,glance2021-22.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XIII,Adyar,NN,2019-2020,ACTUAL,23632,236.32,yes,glance2021-22.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XIV,Perungudi,NP,2019-2020,ACTUAL,0,0.00,yes,glance2021-22.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XV,Sholinganallur,NQ,2019-2020,ACTUAL,4011,40.11,yes,glance2021-22.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
I,Thiruvottiyur,NA,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
II,Manali,NB,2020-2021,RE,5000,50.00,yes,glance2021-22.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
III,Madhavaram,NC,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
IV,Tondiarpet,ND,2020-2021,RE,5000,50.00,yes,glance2021-22.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
V,Royapuram,NE,2020-2021,RE,5000,50.00,yes,glance2021-22.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VI,Thiru-Vi-Ka Nagar,NF,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,62,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VII,Ambattur,NG,2020-2021,RE,0,0.00,no,glance2021-22.pdf,,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VIII,Anna Nagar,NH,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
IX,Teynampet,NJ,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
X,Kodambakkam,NK,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,70,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XI,Valasaravakkam,NL,2020-2021,RE,7500,75.00,yes,glance2021-22.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XII,Alandur,NM,2020-2021,RE,2000,20.00,yes,glance2021-22.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XIII,Adyar,NN,2020-2021,RE,10000,100.00,yes,glance2021-22.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XIV,Perungudi,NP,2020-2021,RE,5000,50.00,yes,glance2021-22.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XV,Sholinganallur,NQ,2020-2021,RE,5000,50.00,yes,glance2021-22.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
I,Thiruvottiyur,NA,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,52,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
II,Manali,NB,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,54,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
III,Madhavaram,NC,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,56,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
IV,Tondiarpet,ND,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,58,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
V,Royapuram,NE,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,60,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VI,Thiru-Vi-Ka Nagar,NF,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,62,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VII,Ambattur,NG,2021-2022,BE,0,0.00,no,glance2021-22.pdf,,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
VIII,Anna Nagar,NH,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,66,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
IX,Teynampet,NJ,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,68,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
X,Kodambakkam,NK,2021-2022,BE,10000,100.00,yes,glance2021-22.pdf,70,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XI,Valasaravakkam,NL,2021-2022,BE,7500,75.00,yes,glance2021-22.pdf,72,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XII,Alandur,NM,2021-2022,BE,2000,20.00,yes,glance2021-22.pdf,74,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XIII,Adyar,NN,2021-2022,BE,20000,200.00,yes,glance2021-22.pdf,76,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XIV,Perungudi,NP,2021-2022,BE,5000,50.00,yes,glance2021-22.pdf,78,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
XV,Sholinganallur,NQ,2021-2022,BE,5000,50.00,yes,glance2021-22.pdf,80,https://chennaicorporation.gov.in/budget/Budget_2021-22/BUDGET%20AT%20A%20GLANCE.pdf
I,Thiruvottiyur,NA,2020-2021,ACTUAL,1853,18.53,yes,glance2022-23.pdf,52,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
II,Manali,NB,2020-2021,ACTUAL,4540,45.40,yes,glance2022-23.pdf,54,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
III,Madhavaram,NC,2020-2021,ACTUAL,6794,67.94,yes,glance2022-23.pdf,56,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
IV,Tondiarpet,ND,2020-2021,ACTUAL,1192,11.92,yes,glance2022-23.pdf,58,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
V,Royapuram,NE,2020-2021,ACTUAL,2995,29.95,yes,glance2022-23.pdf,60,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VI,Thiru-Vi-Ka Nagar,NF,2020-2021,ACTUAL,2090,20.90,yes,glance2022-23.pdf,62,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VII,Ambattur,NG,2020-2021,ACTUAL,0,0.00,no,glance2022-23.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VIII,Anna Nagar,NH,2020-2021,ACTUAL,757,7.57,yes,glance2022-23.pdf,66,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
IX,Teynampet,NJ,2020-2021,ACTUAL,2370,23.70,yes,glance2022-23.pdf,68,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
X,Kodambakkam,NK,2020-2021,ACTUAL,8188,81.88,yes,glance2022-23.pdf,70,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XI,Valasaravakkam,NL,2020-2021,ACTUAL,7968,79.68,yes,glance2022-23.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XII,Alandur,NM,2020-2021,ACTUAL,1855,18.55,yes,glance2022-23.pdf,74,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XIII,Adyar,NN,2020-2021,ACTUAL,10085,100.85,yes,glance2022-23.pdf,76,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XIV,Perungudi,NP,2020-2021,ACTUAL,1411,14.11,yes,glance2022-23.pdf,78,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XV,Sholinganallur,NQ,2020-2021,ACTUAL,1592,15.92,yes,glance2022-23.pdf,80,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
I,Thiruvottiyur,NA,2021-2022,RE,4000,40.00,yes,glance2022-23.pdf,52,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
II,Manali,NB,2021-2022,RE,1000,10.00,yes,glance2022-23.pdf,54,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
III,Madhavaram,NC,2021-2022,RE,3000,30.00,yes,glance2022-23.pdf,56,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
IV,Tondiarpet,ND,2021-2022,RE,1200,12.00,yes,glance2022-23.pdf,58,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
V,Royapuram,NE,2021-2022,RE,7000,70.00,yes,glance2022-23.pdf,60,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VI,Thiru-Vi-Ka Nagar,NF,2021-2022,RE,1000,10.00,yes,glance2022-23.pdf,62,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VII,Ambattur,NG,2021-2022,RE,0,0.00,no,glance2022-23.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VIII,Anna Nagar,NH,2021-2022,RE,1000,10.00,yes,glance2022-23.pdf,66,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
IX,Teynampet,NJ,2021-2022,RE,1000,10.00,yes,glance2022-23.pdf,68,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
X,Kodambakkam,NK,2021-2022,RE,6000,60.00,yes,glance2022-23.pdf,70,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XI,Valasaravakkam,NL,2021-2022,RE,3000,30.00,yes,glance2022-23.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XII,Alandur,NM,2021-2022,RE,1500,15.00,yes,glance2022-23.pdf,74,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XIII,Adyar,NN,2021-2022,RE,1000,10.00,yes,glance2022-23.pdf,76,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XIV,Perungudi,NP,2021-2022,RE,1000,10.00,yes,glance2022-23.pdf,78,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XV,Sholinganallur,NQ,2021-2022,RE,5500,55.00,yes,glance2022-23.pdf,80,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
I,Thiruvottiyur,NA,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,52,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
II,Manali,NB,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,54,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
III,Madhavaram,NC,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,56,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
IV,Tondiarpet,ND,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,58,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
V,Royapuram,NE,2022-2023,BE,7000,70.00,yes,glance2022-23.pdf,60,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VI,Thiru-Vi-Ka Nagar,NF,2022-2023,BE,3000,30.00,yes,glance2022-23.pdf,62,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VII,Ambattur,NG,2022-2023,BE,0,0.00,no,glance2022-23.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
VIII,Anna Nagar,NH,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,66,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
IX,Teynampet,NJ,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,68,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
X,Kodambakkam,NK,2022-2023,BE,8000,80.00,yes,glance2022-23.pdf,70,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XI,Valasaravakkam,NL,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,72,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XII,Alandur,NM,2022-2023,BE,2000,20.00,yes,glance2022-23.pdf,74,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XIII,Adyar,NN,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,76,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XIV,Perungudi,NP,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,78,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
XV,Sholinganallur,NQ,2022-2023,BE,5000,50.00,yes,glance2022-23.pdf,80,https://chennaicorporation.gov.in/gcc/Budget_2022-2023/GLANCE.pdf
I,Thiruvottiyur,NA,2021-2022,ACTUAL,0,0.00,yes,glance2023-24.pdf,49,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
II,Manali,NB,2021-2022,ACTUAL,0,0.00,yes,glance2023-24.pdf,51,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
III,Madhavaram,NC,2021-2022,ACTUAL,1828,18.28,yes,glance2023-24.pdf,53,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
IV,Tondiarpet,ND,2021-2022,ACTUAL,745,7.45,yes,glance2023-24.pdf,55,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
V,Royapuram,NE,2021-2022,ACTUAL,6109,61.09,yes,glance2023-24.pdf,57,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2021-2022,ACTUAL,0,0.00,yes,glance2023-24.pdf,59,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VII,Ambattur,NG,2021-2022,ACTUAL,0,0.00,no,glance2023-24.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VIII,Anna Nagar,NH,2021-2022,ACTUAL,0,0.00,yes,glance2023-24.pdf,63,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
IX,Teynampet,NJ,2021-2022,ACTUAL,0,0.00,yes,glance2023-24.pdf,65,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
X,Kodambakkam,NK,2021-2022,ACTUAL,5419,54.19,yes,glance2023-24.pdf,67,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XI,Valasaravakkam,NL,2021-2022,ACTUAL,1633,16.33,yes,glance2023-24.pdf,69,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XII,Alandur,NM,2021-2022,ACTUAL,1200,12.00,yes,glance2023-24.pdf,71,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XIII,Adyar,NN,2021-2022,ACTUAL,89,0.89,yes,glance2023-24.pdf,73,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XIV,Perungudi,NP,2021-2022,ACTUAL,0,0.00,yes,glance2023-24.pdf,75,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
XV,Sholinganallur,NQ,2021-2022,ACTUAL,5382,53.82,yes,glance2023-24.pdf,77,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
I,Thiruvottiyur,NA,2022-2023,RE,4000,40.00,yes,glance2023-24.pdf,49,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
II,Manali,NB,2022-2023,RE,0,0.00,yes,glance2023-24.pdf,51,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
III,Madhavaram,NC,2022-2023,RE,700,7.00,yes,glance2023-24.pdf,53,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
IV,Tondiarpet,ND,2022-2023,RE,3000,30.00,yes,glance2023-24.pdf,55,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
V,Royapuram,NE,2022-2023,RE,6000,60.00,yes,glance2023-24.pdf,57,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VI,Thiru-Vi-Ka Nagar,NF,2022-2023,RE,0,0.00,yes,glance2023-24.pdf,59,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VII,Ambattur,NG,2022-2023,RE,0,0.00,no,glance2023-24.pdf,,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
VIII,Anna Nagar,NH,2022-2023,RE,0,0.00,yes,glance2023-24.pdf,63,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
IX,Teynampet,NJ,2022-2023,RE,5000,50.00,yes,glance2023-24.pdf,65,https://chennaicorporation.gov.in/gcc/Budget_2023-2024/Glance.pdf
