fy,ward,rs_crore,raw
2018-19,Chandlodiya,0.55,"&j<us Jtuzobtk Yt.0.55 fhtuzlt Fauo xe.ve.1,2,37,38 <&t lJt Fwjlth xe.ve. rJM<thbtk Fwx<e zu[lus jtRl <ubs c{ufztWl hevuh fhJtlt ftb ylu atk"
2018-19,Sarkhej,40.27,„tu‚t-„tuÄtðe fu™t÷ zuð÷… fhðt™t ft{ : ybœtJtœ Bgw.ftuvtuohuNl <&t ytizt rJM<thbtk&e vmth &<e 16.46 rf.be. jkctR vife ybœtJtœ Bgw.ftuvtuohuN
2018-19,Odhav,4.83,2.3 ftu…tuohuþ™ Vkz nuX¤™t {wÏÞ ft{tu ÃËKo &guj ftbtu W•th Ítulbtk ablvwht z[ulus vkv´d MxuNlle htEÍ´d jtEl yvd{uz fhJtle ftbdehe Yt.4.83 fh
2018-19,Lambha,6.95,œrûtK Ítulbtk jtkCtJtuzobtk xeve 81 ylu 82 btk lJt 13 yub.yuj.ze. z[ulus vkv´d MxuNl cltJJtle ftbdehe Yt.6.95 fhtuzlt Fauo &lth Au <&t <ult 
2018-19,Vastral,32.0,3.2 ftu…tuohuþ™ Vkz nuX¤™t {wÏÞ ft{tu Mxtì{o ðtuxh ™uxðfo™e ft{„ehe : atjw J»tobtk Nnuhltk fuxjtf r¢xefj rJM<thtulu Mxtubo Jtuxh luxJfo&e mt
2018-19,Vatva,6.69,atÕþ ftbtu ytuZJ Ft<u Yt.6.69 fhtuzlt Fauo <¤tJ zuJjv fhJtle ftbdehe atjw Au. h<lvwht Ft<u Yt.8.31 fhtuzlt Fauo <¤tJ zuJjv fhJtle ftbdehe at
2019-20,Vasna,14.74,…rù{ Ítu™ atjw ftbtule gt>e : sw>t-sw>t Jtuzolt hemhVuEm <&t vÚ&h vuJ´d btxu Yt.14.74 fhtuzlt ftbtu 5rùb Ítullt sw>t-sw>t Jtuzolt vtKele jtE
2019-20,Sardarnagar,0.8,ytdtbe J»tolt BþÏg ftbtule gt>e : mh>thldh Jtuzobtk sw>t sw>t htuz cltJJt <&t ELxhjtuf´d vurJkd fhJtLþk Yt.80.00 jtFlt Fauo ytgtusl mh>thldh
2019-20,Nikol,0.25,ytdtbe J»tolt BþÏg ftbtule gt>e : Yt.25.00 jtFlt Fauo ybhtEÔttze Jtuzobtk ntWm´d rJM<th <ubs hcthe ftujtulu rJM<thbtk bt nuJevua Jfo fhJtlt 
2019-20,Ramol-Hathijan,0.3,Yt.30.00 jtFlt Fauo ytuZJ Jtuzobtk Lgw CJtle &e sg hKAtuz Jtztu htuz JtEzl´d fhe hemhVum fhJtlt ftb Yt.30.00 jtFlt Fauo JMºttj Jtuzobtk swœe
2019-20,Chandlodiya,2.2899,ctuzfœuJ Jtuzobtk Yt.228.99 jtFlt Fauo RMftul bkrœhle vtA¤ltu hM<tu hemhVum fhJtlwk ftb &j<us Jtuzobtk dtu<t Jtzobtk Yt.134.06 jtFlt Fauo mt
2019-20,Chandlodiya,0.61,Yt.61.00 jtFlt Fauo ctuzfœuJ Jtuzobtk ytJuj yb]<ctd vtxeo Ãjtux&e mwf]< hevtuÍ mw^eltu hM<tu hed{uz fhelu hemhVum fhJtlwk ftb Yt.50.00 jtFlt
2019-20,Sarkhej,1.0,Œrûtý …rù{ Ítu™ atjw ftbtule gt>e : mhFus Jtuzobtk dtb<¤lt rJM<thbtk htuz hemhVum btxu Yt.1.00 fhtuzle Vt¤JKe bf<bÃþht Jtuzobtk sw>e sw>e sø
2019-20,Lambha,6.66,œrûtK Ítul jtkCt Jtuzobtk 17.50 yub.yuj.ze. vkv´d MxuNl cltJJtlwk ftb Yt.6.66 fhtuzlt Fauo <ubs z[uls luxJfole ftbdehe Yt. 6.44 fhtuzlt Fauo
2019-20,Navrangpura,25.41,ytgtusl nuX¤lt ftbtu vrμb Ítullt JtmKt rJM<thbtk ©ugm ¢tumekd&e SJhts bnu<t ntuMvexj &R S.ce.Ntn ftujus &e V<unJtze fultj mw^elt htuz vh ytJ
2019-20,Vasna,65.92,„tu‚t-„tuÄtðe fu™t÷ zuð÷… fhðt™t ft{ : ybœtJtœ Bgw.ftuvtuohuNl <&t ytizt rJM<thbtk&e vmth &<e 16.46 rf.be. jkctR vife ybœtJtœ Bgw.ftuvtuohuN
2019-20,Odhav,1.2,2.3 ftu…tuohuþ™ Vkz nuX¤™t {wÏÞ ft{tu ÃËKo &guj ftbtu ÃËJo Ítulbtk vtkshtvtu¤ &e htbtuj xtuj ÃjtÍt yum.ve. h´d htuz Mþ^e vwN´d vØr<&e z[ulus
2019-20,Chandlodiya,0.03,yt dumlu òu me^ume^tu nJtbtk Atuze œuJtbtk ytJu <tu <u vgtoJhK btxu òuFbe Au <ubs øjtucj JtubeOd btxu sJtcœth Au.yt ctgtudumltu c¤<K <hefu v
2019-20,Vatva,20.0,"œrûtK Ítulbtk xeve Mfeb lk.57,58 btk fKtoJ<e yuvtxobuLx &e ytf]r< xtWlNev <ubs ytmvtmlt rJM<thbtk Mxtubo Jtuxh z[ulus luxJfo ltkFJtle ftbdeh"
2020-21,Shahibaug,2.56,{æÞ Ítu™ «dr<lt ftbtule gt>e : œw^uμh Jtuzobtk ytJuj jtjtftft ftuBgwlexe ntujlu zebtujeMz fhe <u søgtyu lJumh&e y¼<l mwrJ^tytu ylu J^thu ûtb
2020-21,Navrangpura,14.74,…rù{ Ítu™ «dr<lt ftbtule gt>e : Yt.14.74 fhtuzlt Fauo sw>t-sw>t Jtuzolt hemhVuEm <&t vÚ&h vuJ´dle ftbdehe Yt.3.59 fhtuzlt Fauo sw>t-sw>t Jtu
2020-21,India Colony,1.66,mhmvwh - hrFgtj Jtuzbtk ctj CJl Ft<u Jtuzo yturVm <&t jtRc{uhe cltJJtlwk Yt.1.66 fhtuzlt Faou ftbdehe misvwh Jtuzobtk bÕxe vhvÍ rcÕzekd cltJ
2020-21,Ramol-Hathijan,4.0,…qðo Ítu™ «dr<lt ftbtule gt>e : rlftuj Jtuzo <&t htbtuj nt&esK Jtuzobtk yk>tS< Yt.4.00 fhtuzlt Fauo ybœtJtœ Bgwrlrmvj ftuvtuohuNlle btrjfele
2020-21,Ramol-Hathijan,1.76,CtRvwht Jtuzobtk Yt.1.76 fhtuzlt Fauo ^ehs ntWmekdlt Ãjtuxbtk vtxeo Ãjtux cltJJtlwk ftb ytuZJ Jtuzobtk ykœtS< Yt.1.70 fhtuzlt Fauo swœt-swœt
2020-21,Danilimda,4.35,Œrûtý Ítu™ «dr<lt ftbtule gt>e : brKldh Jtuzobtk ytJuj muLx[j buzefj Mxtumo rcÕz´d Yt.4.35 fhtuzlt Fauo lJelefhK fhJtle ftbdehe swœt-swœt Jt
2020-21,Behrampura,6.62,jtkCt Jtuzobtk Yt.6.62 fhtuzlt Fauo xe.ve. 81 <&t 82 lt rJM<thbtk z[ulus jtRllt luxJfo ltkFJtle ftbdehe jtkkCt <&t JxJt Jtuzobtk Yt.22.51 fh
2020-21,Gota,0.98,W¥th …rù{ Ítu™ «dr<lt ftbtule gt>e : W•th vrùb Ítullt swœt-swœt Jtuzobtk Yt.0.98 fhtuzlt Fauo vtKele jtRl ltkFJtltle ftbdehe W•th vrùb Ítull
2020-21,Bodakdev,6.79,W•th vrùb Ítullt swœt-swœt Jtuzobtk Yt.6.79 fhtuzlt Faou z[ulus jtRl/Mx[tub Jtuxh z[uRl jtRl ltkFJtle ftbdehe W•th vrùb Ítullt ctuzfœuJ Jtuz
