edition,division_file,zone,dept_code,function_code,dp_code,account_head,v1,v2,v3,v4
2022-23,2022-23_C.txt,Zone-X KODAMBAKKAM,NK,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-01-00,Storm Water Drains,3718,5000,3000,5000
2022-23,2022-23_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1903,2000,1000,2000
2022-23,2022-23_N.txt,Zone-I THIRUVOTTIYUR,NA,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_N.txt,Zone-II MANALI,NB,20-21-07,230-54-01-00,Storm Water Drains,988,1000,1000,1000
2022-23,2022-23_N.txt,Zone-II MANALI,NB,20-21-07,230-54-03-00,Storm Water Drains-Desilting,703,1000,1000,1000
2022-23,2022-23_N.txt,Zone-II MANALI,NB,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-01-00,Storm Water Drains,1305,2300,1000,1500
2022-23,2022-23_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-54-03-00,Storm Water Drains-Desilting,8588,10000,5000,5000
2022-23,2022-23_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_N.txt,Zone-III MADHAVARAM,NC,20-21-07,230-70-03-00,Flood Relief Works - Storm Water Drain,1,1,1,
2022-23,2022-23_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-01-00,Storm Water Drains,210,5000,5000,5000
2022-23,2022-23_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-54-03-00,Storm Water Drains-Desilting,5000,5000,5000,
2022-23,2022-23_N.txt,Zone-IV TONDIARPET,ND,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-01-00,Storm Water Drains,8234,10000,10000,10000
2022-23,2022-23_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-54-03-00,Storm Water Drains-Desilting,1506,5000,5000,5000
2022-23,2022-23_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_N.txt,Zone-V ROYAPURAM,NE,20-21-07,230-70-03-00,Flood Relief Works - Storm Water Drain,0,500,1,
2022-23,2022-23_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-01-00,Storm Water Drains,4828,5000,3000,3000
2022-23,2022-23_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-54-03-00,Storm Water Drains-Desilting,11716,15000,15000,15000
2022-23,2022-23_S.txt,Zone-XI VALASARAVAKKAM,NL,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-01-00,Storm Water Drains,10148,20000,1000,2000
2022-23,2022-23_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-54-03-00,Storm Water Drains-Desilting,4087,7000,7000,7000
2022-23,2022-23_S.txt,Zone-XII ALANDUR,NM,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-01-00,Storm Water Drains,724,10000,10000,10000
2022-23,2022-23_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-54-03-00,Storm Water Drains-Desilting,291,10000,10000,10000
2022-23,2022-23_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_S.txt,Zone-XIII ADYAR,NN,20-21-07,230-70-03-00,Flood Relief Works - Storm Water Drain,0,735,1,
2022-23,2022-23_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-01-00,Storm Water Drains,4928,6000,1000,2000
2022-23,2022-23_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-54-03-00,Storm Water Drains-Desilting,4835,7000,2000,2000
2022-23,2022-23_S.txt,Zone-XIV PERUNGUDI,NP,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2022-23,2022-23_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-01-00,Storm Water Drains,1743,5000,5000,5000
2022-23,2022-23_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-54-03-00,Storm Water Drains-Desilting,477,5000,2000,2000
2022-23,2022-23_S.txt,Zone-XV SHOZHINGANALLUR,NQ,20-21-07,230-62-02-00,Sites & Services & Slums - Storm Water Drains,1,1,1,
2023-24,2023-24_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-01-00,Storm Water Drains,2680,2000,1000,1000
2023-24,2023-24_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-54-03-00,Storm Water Drains-Desilting,9683,15000,10000,22000
2023-24,2023-24_C.txt,Zone-VI THIRU-VI-KA NAGAR,NF,20-21-07,230-70-03-00,Flood Relief-Storm Water Drain,1,1,1,
2023-24,2023-24_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-01-00,Storm Water Drains,1976,3000,1000,1000
2023-24,2023-24_C.txt,Zone-VII AMBATTUR,NG,20-21-07,230-54-03-00,Storm Water Drains-Desilting,2168,5000,5000,50000
2023-24,2023-24_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-01-00,Storm Water Drains,5018,5000,5000,5000
2023-24,2023-24_C.txt,Zone-VIII ANNA NAGAR,NH,20-21-07,230-54-03-00,Storm Water Drains-Desilting,6876,6000,66500,28000
