"Zone","Major Account ","Major Code","Minor Account","Minor Code","Account Head","D P Code","2012-13  Actuals","2013-14  Budget Estimates","2013-14 Revised Estimates","2013-14  Actuals","2014-15 Budget Estimates","2014-15 Revised Estimates","2015-16  Budget Estimates"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Buildings","412-10-07-04","0.0","0.0","20.0","3.32","0.0","0.0","0.0"
"","Capital Work -in - progress","","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-10-09","0.0","0.0","900.0","0.0","0.0","0.0","0.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","1201.0","0.0","736.81","0.0","13.0","0.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","13.3","12.6","13.3","16.0","13.3"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","108.09","450.0","450.0","346.63","450.0","450.0","450.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","63.28","150.0","100.0","83.0","100.0","50.0","0.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","5.36","1000.0","800.0","67.88","2000.0","2000.0","2000.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","904.33","800.0","800.0","656.69","2000.0","2500.0","3500.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","97.95","100.0","180.0","178.1","200.0","250.0","200.0"
"Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","755.93","500.0","1200.0","1109.43","1000.0","1000.0","100.0"
"Total for Zone VI - Thiru Vi-Ka Nagar","Capital Work -in - progress","",""," ","","","1934.94","4214.3","4493.3","3203.12","5763.3","6279.0","7163.3"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-09-00","4450.31","5996.0","3500.0","3281.76","0.0","1600.0","0.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","3000.0","2277.93","0.0","2900.0","0.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2013 - 2014)","412-10-12-00","0.0","0.0","2500.0","29.98","5000.0","12900.0","0.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","1.0","0.0","13.3","13.3","13.3"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Councillor Ward Improvement Fund Works","412-20-04-00","0.0","450.0","450.0","93.54","450.0","450.0","450.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Parks & Garden","412-40-02-00","104.85","300.0","500.0","173.23","700.0","250.0","0.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Noon Meals Shed","412-40-04-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Anganvadi Centers","412-40-04-06","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Amma Unavagam - Buildings","412-40-05-09","0.0","0.0","0.0","0.0","0.0","0.0","300.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Public Convenience","412-40-06-04","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Dhobikhana","412-40-06-05","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Gym Buildings","412-40-06-08","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Burial Ground Buildings","412-40-06-09","0.0","0.0","0.0","0.0","0.0","0.0","100.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Concrete Roads - Interior Roads","412-40-07-02","0.0","400.0","400.0","215.85","800.0","750.0","700.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Black Topped - Interior Roads","412-40-08-02","741.91","2500.0","2500.0","2130.92","5000.0","2600.0","5000.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Storm Water Drains and Culverts","412-40-11-00","137.24","200.0","100.0","60.41","1000.0","100.0","200.0"
"Zone VII - Ambattur","Capital Work -in - progress","412.0","","40.0","Other Miscellaneous Works","412-40-30-00","144.51","200.0","600.0","582.45","1000.0","500.0","100.0"
"Total for Zone VII - Ambattur","","",""," ","","","5578.82","10059.3","13551.0","8846.07","13963.3","22063.3","7363.3"
"Zone VIII - Anna Nagar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Roads","412-10-07-01","0.0","0.0","0.0","3.95","0.0","150.0","0.0"
"Zone VIII - Anna Nagar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-JNNURM-BSUP-Buildings","412-10-07-04","39.57","0.0","30.55","0.0","30.0","30.0","0.0"
"","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2011 - 2012)","412-10-10-09","0.0","2985.0","0.0","0.0","0.0","0.0","0.0"
"Zone VIII - Anna Nagar","Capital Work -in - progress","412.0","Specific Grants","10.0","Specific Grants-GoTN-CMCDM(2012 - 2013)","412-10-10-00","0.0","0.0","2250.0","2057.76","0.0","30.0","0.0"
"Zone VIII - Anna Nagar","Capital Work -in - progress","412.0","Special Funds","20.0","Specific Funds - Mayor Special Development Fund Works","412-20-03-00","0.0","13.3","13.3","10.37","13.3","13.3","13.3"
